func,package,description
round,base,"\code{ceiling} takes a single numeric argument \code{x} and returns a numeric vector containing the smallest integers not less than the corresponding elements of \code{x}.  \code{floor} takes a single numeric argument \code{x} and returns a numeric vector containing the largest integers not greater than the corresponding elements of \code{x}.  \code{trunc} takes a single numeric argument \code{x} and returns a numeric vector containing the integers formed by truncating the values in \code{x} toward \code{0}.  \code{round} rounds the values in its first argument to the specified number of decimal places (default 0).  See `Details' about ``round to even'' when rounding off a 5.  \code{signif} rounds the values in its first argument to the specified number of \emph{significant} digits.   Hence, for \code{numeric} \code{x}, \code{signif(x, dig)} is the same as \code{round(x, dig - ceiling(log10(abs(x))))}."
rowMeans,base,Form row and column sums and means for numeric arrays (or data frames).
rownames,base,Retrieve or set the row or column names of a matrix-like object.
sample,base,\code{sample} takes a sample of the specified size from the elements of \code{x} using either with or without replacement.
sapply,base,"\code{lapply} returns a list of the same length as \code{X}, each element of which is the result of applying \code{FUN} to the corresponding element of \code{X}.  \code{sapply} is a user-friendly version and wrapper of \code{lapply} by default returning a vector, matrix or, if \code{simplify = ""array""}, an array if appropriate, by applying \code{simplify2array()}. \code{sapply(x, f, simplify = FALSE, USE.NAMES = FALSE)} is the same as \code{lapply(x, f)}.  \code{vapply} is similar to \code{sapply}, but has a pre-specified type of return value, so it can be safer (and sometimes faster) to use.  \code{replicate} is a wrapper for the common use of \code{sapply} for repeated evaluation of an expression (which will usually involve random number generation).  \code{simplify2array()} is the utility called from \code{sapply()} when \code{simplify} is not false and is similarly called from \code{\LinkA{mapply}{mapply}()}."
save,base,"\code{save} writes an external representation of \R{} objects to the specified file.  The objects can be read back from the file at a later date by using the function \code{\LinkA{load}{load}} or \code{\LinkA{attach}{attach}} (or \code{\LinkA{data}{data}} in some cases).  \code{save.image()} is just a short-cut for `save my current workspace', i.e., \code{save(list = ls(all.names = TRUE), file =     "".RData"", envir = .GlobalEnv)}. It is also what happens with \code{\LinkA{q}{q}(""yes"")}."
save.image,base,"\code{save} writes an external representation of \R{} objects to the specified file.  The objects can be read back from the file at a later date by using the function \code{\LinkA{load}{load}} or \code{\LinkA{attach}{attach}} (or \code{\LinkA{data}{data}} in some cases).  \code{save.image()} is just a short-cut for `save my current workspace', i.e., \code{save(list = ls(all.names = TRUE), file =     "".RData"", envir = .GlobalEnv)}. It is also what happens with \code{\LinkA{q}{q}(""yes"")}."
seq,base,Generate regular sequences.  \code{seq} is a standard generic with a default method.  \code{seq.int} is a primitive which can be much faster but has a few restrictions.  \code{seq\_along} and \code{seq\_len} are very fast primitives for two common cases.
set.seed,base,"\code{.Random.seed} is an integer vector, containing the random number generator (\abbr{RNG}) \bold{state} for random number generation in \R{}.  It can be saved and restored, but should not be altered by the user.  \code{RNGkind} is a more friendly interface to query or set the kind of RNG in use.  \code{RNGversion} can be used to set the random generators as they were in an earlier \R{} version (for reproducibility).  \code{set.seed} is the recommended way to specify seeds."
setdiff,base,"Performs \bold{set} union, intersection, (asymmetric!) difference, equality and membership on two vectors."
sort,base,"Sort (or \emph{order}) a vector or factor (partially) into ascending or descending order.  For ordering along more than one variable, e.g., for sorting data frames, see \code{\LinkA{order}{order}}."
sum,base,\code{sum} returns the sum of all the values present in its arguments.
summary,base,\code{summary} is a generic function used to produce result summaries of the results of various model fitting functions.  The function invokes particular \code{\LinkA{methods}{methods}} which depend on the \code{\LinkA{class}{class}} of the first argument.
suppressPackageStartupMessages,base,Generate a diagnostic message from its arguments.
suppressWarnings,base,Generates a warning message that corresponds to its argument(s) and (optionally) the expression or function from which it was called.
table,base,\code{table} uses cross-classifying factors to build a contingency table of the counts at each combination of factor levels.
toupper,base,"Translate characters in character vectors, in particular from upper to lower case or vice versa."
try,base,\code{try} is a wrapper to run an expression that might fail and allow the user's code to handle error-recovery.
typeof,base,\code{typeof} determines the (\R{} internal) type or storage mode of any object
unique,base,"\code{unique} returns a vector, data frame or array like \code{x} but with duplicate elements/rows removed."
unlist,base,"Given a list structure \code{x}, \code{unlist} simplifies it to produce a vector which contains all the atomic components which occur in \code{x}."
unloadNamespace,base,Functions to load and unload name spaces.
which,base,"Give the \code{TRUE} indices of a logical object, allowing for array indices."
tidy,broom,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[generics] \code{\LinkA{augment}{augment}}, \code{\LinkA{glance}{glance}}, \code{\LinkA{tidy}{tidy}}  \end{description}"
corrplot,corrplot,"A graphical display of a correlation matrix, confidence interval. The details are paid great attention to. It can also visualize a general matrix by setting \code{is.corr = FALSE}."
direct.label,directlabels,"Add direct labels to a plot, and hide the color legend. Modern plotting packages like lattice and ggplot2 show automatic legends based on the variable specified for color, but these legends can be confusing if there are too many colors. Direct labels are a useful and clear alternative to a confusing legend in many common plots."
across,dplyr,"\code{across()} makes it easy to apply the same transformation to multiple columns, allowing you to use \code{\LinkA{select()}{select}} semantics inside in ""data-masking"" functions like \code{\LinkA{summarise()}{summarise}} and \code{\LinkA{mutate()}{mutate}}. See \code{vignette(""colwise"")} for more details.  \code{if\_any()} and \code{if\_all()} apply the same predicate function to a selection of columns and combine the results into a single logical vector: \code{if\_any()} is \code{TRUE} when the predicate is \code{TRUE} for \emph{any} of the selected columns, \code{if\_all()} is \code{TRUE} when the predicate is \code{TRUE} for \emph{all} selected columns.  If you just need to select columns without applying a transformation to each of them, then you probably want to use \code{\LinkA{pick()}{pick}} instead.  \code{across()} supersedes the family of ""scoped variants"" like \code{summarise\_at()}, \code{summarise\_if()}, and \code{summarise\_all()}."
anti_join,dplyr,Filtering joins filter rows from \code{x} based on the presence or absence of matches in \code{y}: \begin{itemize}  \item{} \code{semi\_join()} return all rows from \code{x} with a match in \code{y}. \item{} \code{anti\_join()} return all rows from \code{x} with\strong{out} a match in \code{y}.  \end{itemize} 
arrange,dplyr,"\code{arrange()} orders the rows of a data frame by the values of selected columns.  Unlike other dplyr verbs, \code{arrange()} largely ignores grouping; you need to explicitly mention grouping variables (or use  \code{.by\_group = TRUE}) in order to group by them, and functions of variables are evaluated once per data frame, not once per group."
as.tbl,dplyr,\strong{[Deprecated]} Please use \code{\LinkA{tibble::as\_tibble()}{tibble::as.Rul.tibble()}} instead.
case_when,dplyr,"This function allows you to vectorise multiple \code{\LinkA{if\_else()}{if.Rul.else}} statements. Each case is evaluated sequentially and the first match for each element determines the corresponding value in the output vector. If no cases match, the \code{.default} is used as a final ""else"" statment.  \code{case\_when()} is an R equivalent of the SQL ""searched"" \AsIs{\texttt{CASE WHEN}} statement."
contains,dplyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[magrittr] \code{\LinkA{\Rpercent{}>\Rpercent{}}{.Rpcent.>.Rpcent.}}  \item[pillar] \code{\LinkA{type\_sum}{type.Rul.sum}}  \item[tibble] \code{\LinkA{add\_row}{add.Rul.row}}, \code{\LinkA{as\_data\_frame}{as.Rul.data.Rul.frame}}, \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{data\_frame}{data.Rul.frame}}, \code{\LinkA{lst}{lst}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}, \code{\LinkA{view}{view}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}, \code{\LinkA{where}{where}}  \end{description}"
count,dplyr,"\code{count()} lets you quickly count the unique values of one or more variables: \code{df \%>\% count(a, b)} is roughly equivalent to \code{df \%>\% group\_by(a, b) \%>\% summarise(n = n())}. \code{count()} is paired with \code{tally()}, a lower-level helper that is equivalent to \code{df \%>\% summarise(n = n())}. Supply \code{wt} to perform weighted counts, switching the summary from \code{n = n()} to \code{n = sum(wt)}.  \code{add\_count()} and \code{add\_tally()} are equivalents to \code{count()} and \code{tally()} but use \code{mutate()} instead of \code{summarise()} so that they add a new column with group-wise counts."
desc,dplyr,Transform a vector into a format that will be sorted in descending order. This is useful within \code{\LinkA{arrange()}{arrange}}.
distinct,dplyr,Keep only unique/distinct rows from a data frame. This is similar to \code{\LinkA{unique.data.frame()}{unique.data.frame}} but considerably faster.
ends_with,dplyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[magrittr] \code{\LinkA{\Rpercent{}>\Rpercent{}}{.Rpcent.>.Rpcent.}}  \item[pillar] \code{\LinkA{type\_sum}{type.Rul.sum}}  \item[tibble] \code{\LinkA{add\_row}{add.Rul.row}}, \code{\LinkA{as\_data\_frame}{as.Rul.data.Rul.frame}}, \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{data\_frame}{data.Rul.frame}}, \code{\LinkA{lst}{lst}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}, \code{\LinkA{view}{view}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}, \code{\LinkA{where}{where}}  \end{description}"
everything,dplyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[magrittr] \code{\LinkA{\Rpercent{}>\Rpercent{}}{.Rpcent.>.Rpcent.}}  \item[pillar] \code{\LinkA{type\_sum}{type.Rul.sum}}  \item[tibble] \code{\LinkA{add\_row}{add.Rul.row}}, \code{\LinkA{as\_data\_frame}{as.Rul.data.Rul.frame}}, \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{data\_frame}{data.Rul.frame}}, \code{\LinkA{lst}{lst}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}, \code{\LinkA{view}{view}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}, \code{\LinkA{where}{where}}  \end{description}"
filter,dplyr,"The \code{filter()} function is used to subset a data frame, retaining all rows that satisfy your conditions. To be retained, the row must produce a value of \code{TRUE} for all conditions. Note that when a condition evaluates to \code{NA} the row will be dropped, unlike base subsetting with \code{[}."
full_join,dplyr,"Mutating joins add columns from \code{y} to \code{x}, matching observations based on the keys. There are four mutating joins: the inner join, and the three outer joins. % \begin{SubSection}{Inner join}  An \code{inner\_join()} only keeps observations from \code{x} that have a matching key in \code{y}.  The most important property of an inner join is that unmatched rows in either input are not included in the result. This means that generally inner joins are not appropriate in most analyses, because it is too easy to lose observations. \end{SubSection}   % \begin{SubSection}{Outer joins}  The three outer joins keep observations that appear in at least one of the data frames: \begin{itemize}  \item{} A \code{left\_join()} keeps all observations in \code{x}. \item{} A \code{right\_join()} keeps all observations in \code{y}. \item{} A \code{full\_join()} keeps all observations in \code{x} and \code{y}.  \end{itemize}  \end{SubSection} "
glimpse,dplyr,"\code{glimpse()} is like a transposed version of \code{print()}: columns run down the page, and data runs across. This makes it possible to see every column in a data frame. It's a little like \code{\LinkA{str()}{str}} applied to a data frame but it tries to show you as much data as possible. (And it always shows the underlying data, even when applied to a remote data source.)  \code{glimpse()} is provided by the pillar package, and re-exported by dplyr. See \code{\LinkA{pillar::glimpse()}{pillar::glimpse()}} for more details."
group_by,dplyr,"Most data operations are done on groups defined by variables. \code{group\_by()} takes an existing tbl and converts it into a grouped tbl where operations are performed ""by group"". \code{ungroup()} removes grouping."
inner_join,dplyr,"Mutating joins add columns from \code{y} to \code{x}, matching observations based on the keys. There are four mutating joins: the inner join, and the three outer joins. % \begin{SubSection}{Inner join}  An \code{inner\_join()} only keeps observations from \code{x} that have a matching key in \code{y}.  The most important property of an inner join is that unmatched rows in either input are not included in the result. This means that generally inner joins are not appropriate in most analyses, because it is too easy to lose observations. \end{SubSection}   % \begin{SubSection}{Outer joins}  The three outer joins keep observations that appear in at least one of the data frames: \begin{itemize}  \item{} A \code{left\_join()} keeps all observations in \code{x}. \item{} A \code{right\_join()} keeps all observations in \code{y}. \item{} A \code{full\_join()} keeps all observations in \code{x} and \code{y}.  \end{itemize}  \end{SubSection} "
left_join,dplyr,"Mutating joins add columns from \code{y} to \code{x}, matching observations based on the keys. There are four mutating joins: the inner join, and the three outer joins. % \begin{SubSection}{Inner join}  An \code{inner\_join()} only keeps observations from \code{x} that have a matching key in \code{y}.  The most important property of an inner join is that unmatched rows in either input are not included in the result. This means that generally inner joins are not appropriate in most analyses, because it is too easy to lose observations. \end{SubSection}   % \begin{SubSection}{Outer joins}  The three outer joins keep observations that appear in at least one of the data frames: \begin{itemize}  \item{} A \code{left\_join()} keeps all observations in \code{x}. \item{} A \code{right\_join()} keeps all observations in \code{y}. \item{} A \code{full\_join()} keeps all observations in \code{x} and \code{y}.  \end{itemize}  \end{SubSection} "
mutate,dplyr,\code{mutate()} creates new columns that are functions of existing variables. It can also modify (if the name is the same as an existing column) and delete columns (by setting their value to \code{NULL}).
n,dplyr,"These functions return information about the ""current"" group or ""current"" variable, so only work inside specific contexts like \code{\LinkA{summarise()}{summarise}} and \code{\LinkA{mutate()}{mutate}}. \begin{itemize}  \item{} \code{n()} gives the current group size. \item{} \code{cur\_group()} gives the group keys, a tibble with one row and one column for each grouping variable. \item{} \code{cur\_group\_id()} gives a unique numeric identifier for the current group. \item{} \code{cur\_group\_rows()} gives the row indices for the current group. \item{} \code{cur\_column()} gives the name of the current column (in \code{\LinkA{across()}{across}} only).  \end{itemize}   See \code{\LinkA{group\_data()}{group.Rul.data}} for equivalent functions that return values for all groups.  See \code{\LinkA{pick()}{pick}} for a way to select a subset of columns using tidyselect syntax while inside \code{summarise()} or \code{mutate()}."
n_distinct,dplyr,\code{n\_distinct()} counts the number of unique/distinct combinations in a set of one or more vectors. It's a faster and more concise equivalent to \code{nrow(unique(data.frame(...)))}.
na_if,dplyr,This is a translation of the SQL command \code{NULLIF}. It is useful if you want to convert an annoying value to \code{NA}.
one_of,dplyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[magrittr] \code{\LinkA{\Rpercent{}>\Rpercent{}}{.Rpcent.>.Rpcent.}}  \item[pillar] \code{\LinkA{type\_sum}{type.Rul.sum}}  \item[tibble] \code{\LinkA{add\_row}{add.Rul.row}}, \code{\LinkA{as\_data\_frame}{as.Rul.data.Rul.frame}}, \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{data\_frame}{data.Rul.frame}}, \code{\LinkA{lst}{lst}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}, \code{\LinkA{view}{view}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}, \code{\LinkA{where}{where}}  \end{description}"
pull,dplyr,"\code{pull()} is similar to \code{\$}. It's mostly useful because it looks a little nicer in pipes, it also works with remote data frames, and it can optionally name the output."
recode,dplyr,"\strong{[Superseded]}  \code{recode()} is superseded in favor of \code{\LinkA{case\_match()}{case.Rul.match}}, which handles the most important cases of \code{recode()} with a more elegant interface. \code{recode\_factor()} is also superseded, however, its direct replacement is not currently available but will eventually live in \Rhref{https://forcats.tidyverse.org/}{forcats}. For creating new variables based on logical vectors, use \code{\LinkA{if\_else()}{if.Rul.else}}. For even more complicated criteria, use \code{\LinkA{case\_when()}{case.Rul.when}}.  \code{recode()} is a vectorised version of \code{\LinkA{switch()}{switch}}: you can replace numeric values based on their position or their name, and character or factor values only by their name. This is an S3 generic: dplyr provides methods for numeric, character, and factors. You can use \code{recode()} directly with factors; it will preserve the existing order of levels while changing the values. Alternatively, you can use \code{recode\_factor()}, which will change the order of levels to match the order of replacements."
relocate,dplyr,"Use \code{relocate()} to change column positions, using the same syntax as \code{select()} to make it easy to move blocks of columns at once."
rename,dplyr,\code{rename()} changes the names of individual variables using \code{new\_name = old\_name} syntax; \code{rename\_with()} renames columns using a function.
rename_with,dplyr,\code{rename()} changes the names of individual variables using \code{new\_name = old\_name} syntax; \code{rename\_with()} renames columns using a function.
right_join,dplyr,"Mutating joins add columns from \code{y} to \code{x}, matching observations based on the keys. There are four mutating joins: the inner join, and the three outer joins. % \begin{SubSection}{Inner join}  An \code{inner\_join()} only keeps observations from \code{x} that have a matching key in \code{y}.  The most important property of an inner join is that unmatched rows in either input are not included in the result. This means that generally inner joins are not appropriate in most analyses, because it is too easy to lose observations. \end{SubSection}   % \begin{SubSection}{Outer joins}  The three outer joins keep observations that appear in at least one of the data frames: \begin{itemize}  \item{} A \code{left\_join()} keeps all observations in \code{x}. \item{} A \code{right\_join()} keeps all observations in \code{y}. \item{} A \code{full\_join()} keeps all observations in \code{x} and \code{y}.  \end{itemize}  \end{SubSection} "
select,dplyr,"Select (and optionally rename) variables in a data frame, using a concise mini-language that makes it easy to refer to variables based on their name (e.g. \code{a:f} selects all columns from \code{a} on the left to \code{f} on the right) or type (e.g. \code{where(is.numeric)} selects all numeric columns). % \begin{SubSection}{Overview of selection features}  Tidyverse selections implement a dialect of R where operators make it easy to select variables: \begin{itemize}  \item{} \code{:} for selecting a range of consecutive variables. \item{} \code{!} for taking the complement of a set of variables. \item{} \code{\&} and \code{|} for selecting the intersection or the union of two sets of variables. \item{} \code{c()} for combining selections.  \end{itemize}   In addition, you can use \strong{selection helpers}. Some helpers select specific columns: \begin{itemize}  \item{} \code{\LinkA{everything()}{everything()}}: Matches all variables. \item{} \code{\LinkA{last\_col()}{last.Rul.col()}}: Select last variable, possibly with an offset. \item{} \code{\LinkA{group\_cols()}{group.Rul.cols}}: Select all grouping columns.  \end{itemize}   Other helpers select variables by matching patterns in their names: \begin{itemize}  \item{} \code{\LinkA{starts\_with()}{starts.Rul.with()}}: Starts with a prefix. \item{} \code{\LinkA{ends\_with()}{ends.Rul.with()}}: Ends with a suffix. \item{} \code{\LinkA{contains()}{contains()}}: Contains a literal string. \item{} \code{\LinkA{matches()}{matches()}}: Matches a regular expression. \item{} \code{\LinkA{num\_range()}{num.Rul.range()}}: Matches a numerical range like x01, x02, x03.  \end{itemize}   Or from variables stored in a character vector: \begin{itemize}  \item{} \code{\LinkA{all\_of()}{all.Rul.of()}}: Matches variable names in a character vector. All names must be present, otherwise an out-of-bounds error is thrown. \item{} \code{\LinkA{any\_of()}{any.Rul.of()}}: Same as \code{all\_of()}, except that no error is thrown for names that don't exist.  \end{itemize}   Or using a predicate function: \begin{itemize}  \item{} \code{\LinkA{where()}{where()}}: Applies a function to all variables and selects those for which the function returns \code{TRUE}.  \end{itemize}  \end{SubSection} "
setdiff,dplyr,"Perform set operations using the rows of a data frame. \begin{itemize}  \item{} \code{intersect(x, y)} finds all rows in both \code{x} and \code{y}. \item{} \code{union(x, y)} finds all rows in either \code{x} or \code{y}, excluding duplicates. \item{} \code{union\_all(x, y)} finds all rows in either \code{x} or \code{y}, including duplicates. \item{} \code{setdiff(x, y)} finds all rows in \code{x} that aren't in \code{y}. \item{} \code{symdiff(x, y)} computes the symmetric difference, i.e. all rows in \code{x} that aren't in \code{y} and all rows in \code{y} that aren't in \code{x}. \item{} \code{setequal(x, y)} returns \code{TRUE} if \code{x} and \code{y} contain the same rows (ignoring order).  \end{itemize}   Note that \code{intersect()}, \code{union()}, \code{setdiff()}, and \code{symdiff()} remove duplicates in \code{x} and \code{y}."
